time_period,time_identifier,geographic_level,country_code,country_name,characteristic_group,characteristic,school_type,gender,no_schools,t_mtc_eligible_pupils,t_mtc_pupils_completed_check,t_mtc_eligible_pupils_not_completed_check,t_mtc_scored_25,t_mtc_scored_24,t_mtc_scored_23,t_mtc_scored_22,t_mtc_scored_21,t_mtc_scored_20,t_mtc_scored_19,t_mtc_scored_18,t_mtc_scored_17,t_mtc_scored_16,t_mtc_scored_15,t_mtc_scored_14,t_mtc_scored_13,t_mtc_scored_12,t_mtc_scored_11,t_mtc_scored_10,t_mtc_scored_9,t_mtc_scored_8,t_mtc_scored_7,t_mtc_scored_6,t_mtc_scored_5,t_mtc_scored_4,t_mtc_scored_3,t_mtc_scored_2,t_mtc_scored_1,t_mtc_scored_0,t_mtc_absent,t_mtc_unable_to_participate,t_mtc_working_below,t_mtc_just_arrived,t_mtc_missing_reason,t_mtc_sum_scores,mtc_average_score,pt_mtc_eligible_pupils_completed_check,pt_mtc_eligible_pupils_not_completed_check,pt_mtc_scored_25,pt_mtc_scored_24,pt_mtc_scored_23,pt_mtc_scored_22,pt_mtc_scored_21,pt_mtc_scored_20,pt_mtc_scored_19,pt_mtc_scored_18,pt_mtc_scored_17,pt_mtc_scored_16,pt_mtc_scored_15,pt_mtc_scored_14,pt_mtc_scored_13,pt_mtc_scored_12,pt_mtc_scored_11,pt_mtc_scored_10,pt_mtc_scored_9,pt_mtc_scored_8,pt_mtc_scored_7,pt_mtc_scored_6,pt_mtc_scored_5,pt_mtc_scored_4,pt_mtc_scored_3,pt_mtc_scored_2,pt_mtc_scored_1,pt_mtc_scored_0,pt_mtc_absent,pt_mtc_unable_to_participate,pt_mtc_working_below,pt_mtc_just_arrived,pt_mtc_missing_reason
202122,Academic year,National,E92000001,England,All pupils,Total,State-funded schools,Boys,16330,333626,316933,16693,93497,39810,24810,18504,15514,13635,12300,11288,10491,9728,9210,8617,7840,7166,6490,5635,4762,4176,3231,2376,1730,1453,1189,874,977,1630,1965,1888,10716,249,1875,6348289,20,95,5,28,12,7,6,5,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,1,1,3,0,1
202122,Academic year,National,E92000001,England,All pupils,Total,State-funded schools,Girls,16202,318633,308755,9878,79502,36804,23540,18318,15328,13820,12615,11973,11381,10714,10239,9887,9239,8348,7426,6537,5503,4686,3477,2429,1625,1267,1028,776,915,1378,1746,896,5911,259,1066,6037664,19.6,97,3,25,12,7,6,5,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,1,0,0,0,0,0,1,0,2,0,0
202122,Academic year,National,E92000001,England,All pupils,Total,State-funded schools,Total,16371,652259,625688,26571,172999,76614,48350,36822,30842,27455,24915,23261,21872,20442,19449,18504,17079,15514,13916,12172,10265,8862,6708,4805,3355,2720,2217,1650,1892,3008,3711,2784,16627,508,2941,12385953,19.8,96,4,27,12,7,6,5,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,1,0,3,0,0
202122,Academic year,National,E92000001,England,Disadvantage status,Disadvantaged,State-funded schools,Boys,14730,95467,87276,8191,18803,8836,5819,4528,4182,3820,3494,3422,3300,3207,3027,3067,2928,2708,2640,2349,2115,1929,1550,1162,913,782,649,510,584,952,886,846,5528,37,894,1590174,18.2,91,9,20,9,6,5,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,6,0,1
202122,Academic year,National,E92000001,England,Disadvantage status,Disadvantaged,State-funded schools,Girls,14474,90774,85986,4788,15519,7644,5187,4368,3811,3695,3499,3463,3521,3515,3456,3506,3459,3367,3157,2893,2498,2196,1794,1343,877,751,605,454,545,863,753,383,3127,41,484,1506946,17.5,95,5,17,8,6,5,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,1,1,1,1,1,1,1,1,0,3,0,1
202122,Academic year,National,E92000001,England,Disadvantage status,Disadvantaged,State-funded schools,Total,15736,186241,173262,12979,34322,16480,11006,8896,7993,7515,6993,6885,6821,6722,6483,6573,6387,6075,5797,5242,4613,4125,3344,2505,1790,1533,1254,964,1129,1815,1639,1229,8655,78,1378,3097120,17.9,93,7,18,9,6,5,4,4,4,4,4,4,3,4,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,5,0,1
202122,Academic year,National,E92000001,England,Disadvantage status,Not known to be disadvantaged,State-funded schools,Boys,16213,238159,229657,8502,74694,30974,18991,13976,11332,9815,8806,7866,7191,6521,6183,5550,4912,4458,3850,3286,2647,2247,1681,1214,817,671,540,364,393,678,1079,1042,5188,212,981,4758115,20.7,96,4,31,13,8,6,5,4,4,3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0
202122,Academic year,National,E92000001,England,Disadvantage status,Not known to be disadvantaged,State-funded schools,Girls,15987,227859,222769,5090,63983,29160,18353,13950,11517,10125,9116,8510,7860,7199,6783,6381,5780,4981,4269,3644,3005,2490,1683,1086,748,516,423,322,370,515,993,513,2784,218,582,4530718,20.3,98,2,28,13,8,6,5,4,4,4,3,3,3,3,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
202122,Academic year,National,E92000001,England,Disadvantage status,Not known to be disadvantaged,State-funded schools,Total,16313,466018,452426,13592,138677,60134,37344,27926,22849,19940,17922,16376,15051,13720,12966,11931,10692,9439,8119,6930,5652,4737,3364,2300,1565,1187,963,686,763,1193,2072,1555,7972,430,1563,9288833,20.5,97,3,30,13,8,6,5,4,4,4,3,3,3,3,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0
202122,Academic year,National,E92000001,England,Ethnic major,Any other ethnic group,State-funded schools,Boys,3727,7352,6959,393,2474,968,546,417,306,263,227,202,184,172,160,143,159,119,107,106,71,78,62,50,29,19,21,20,9,47,33,56,263,5,36,144793,20.8,95,5,34,13,7,6,4,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0
