time_period,time_identifier,geographic_level,country_code,country_name,characteristic_group,characteristic,school_type,gender,no_schools,t_mtc_eligible_pupils,t_mtc_pupils_completed_check,t_mtc_eligible_pupils_not_completed_check,t_mtc_scored_25,t_mtc_scored_24,t_mtc_scored_23,t_mtc_scored_22,t_mtc_scored_21,t_mtc_scored_20,t_mtc_scored_19,t_mtc_scored_18,t_mtc_scored_17,t_mtc_scored_16,t_mtc_scored_15,t_mtc_scored_14,t_mtc_scored_13,t_mtc_scored_12,t_mtc_scored_11,t_mtc_scored_10,t_mtc_scored_9,t_mtc_scored_8,t_mtc_scored_7,t_mtc_scored_6,t_mtc_scored_5,t_mtc_scored_4,t_mtc_scored_3,t_mtc_scored_2,t_mtc_scored_1,t_mtc_scored_0,t_mtc_absent,t_mtc_unable_to_participate,t_mtc_working_below,t_mtc_just_arrived,t_mtc_missing_reason,t_mtc_sum_scores,mtc_average_score,pt_mtc_eligible_pupils_completed_check,pt_mtc_eligible_pupils_not_completed_check,pt_mtc_scored_25,pt_mtc_scored_24,pt_mtc_scored_23,pt_mtc_scored_22,pt_mtc_scored_21,pt_mtc_scored_20,pt_mtc_scored_19,pt_mtc_scored_18,pt_mtc_scored_17,pt_mtc_scored_16,pt_mtc_scored_15,pt_mtc_scored_14,pt_mtc_scored_13,pt_mtc_scored_12,pt_mtc_scored_11,pt_mtc_scored_10,pt_mtc_scored_9,pt_mtc_scored_8,pt_mtc_scored_7,pt_mtc_scored_6,pt_mtc_scored_5,pt_mtc_scored_4,pt_mtc_scored_3,pt_mtc_scored_2,pt_mtc_scored_1,pt_mtc_scored_0,pt_mtc_absent,pt_mtc_unable_to_participate,pt_mtc_working_below,pt_mtc_just_arrived,pt_mtc_missing_reason
202122,Academic year,National,E92000001,England,School phase,Highest statutory age 8 to 11,State-funded mainstream schools,Boys,15474,322983,312255,10728,92017,39197,24482,18277,15325,13460,12144,11132,10349,9607,9086,8500,7736,7082,6398,5544,4697,4108,3177,2329,1688,1422,1152,848,940,1558,1921,1519,6417,247,624,6256345,20,97,3,28,12,8,6,5,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,1,0,2,0,0
202122,Academic year,National,E92000001,England,School phase,Highest statutory age 8 to 11,State-funded mainstream schools,Girls,15451,312309,304582,7727,78259,36223,23247,18082,15152,13668,12457,11833,11250,10572,10103,9773,9140,8247,7346,6466,5433,4637,3421,2383,1608,1253,1015,762,901,1351,1729,774,4386,252,586,5954320,19.5,98,2,25,12,7,6,5,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,1,0,0,0,0,0,1,0,1,0,0
202122,Academic year,National,E92000001,England,School phase,Highest statutory age 8 to 11,State-funded mainstream schools,Total,15509,635292,616837,18455,170276,75420,47729,36359,30477,27128,24601,22965,21599,20179,19189,18273,16876,15329,13744,12010,10130,8745,6598,4712,3296,2675,2167,1610,1841,2909,3650,2293,10803,499,1210,12210665,19.8,97,3,27,12,8,6,5,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,1,0,2,0,0
202122,Academic year,National,E92000001,England,School phase,Highest statutory age greater than 11,State-funded mainstream schools,Boys,147,4206,4093,113,1464,593,317,222,173,163,144,135,122,101,102,95,70,57,63,60,40,37,35,25,16,11,10,11,9,18,25,25,59,1,3,85739,20.9,97,3,35,14,8,5,4,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0
202122,Academic year,National,E92000001,England,School phase,Highest statutory age greater than 11,State-funded mainstream schools,Girls,147,4177,4090,87,1241,580,293,235,175,151,155,138,128,142,130,111,98,100,75,66,66,44,51,44,14,10,7,10,8,18,15,13,51,6,2,82615,20.2,98,2,30,14,7,6,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0
202122,Academic year,National,E92000001,England,School phase,Highest statutory age greater than 11,State-funded mainstream schools,Total,148,8383,8183,200,2705,1173,610,457,348,314,299,273,250,243,232,206,168,157,138,126,106,81,86,69,30,21,17,21,17,36,40,38,110,7,5,168354,20.6,98,2,32,14,7,5,4,4,4,3,3,3,3,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
202122,Academic year,National,E92000001,England,School religious character,Church of England,State-funded mainstream schools,Boys,4198,62391,60473,1918,16179,7415,4900,3704,3172,2719,2498,2390,2232,1966,1877,1775,1625,1469,1303,1139,911,812,617,463,301,256,208,148,142,252,367,254,1110,55,132,1200361,19.8,97,3,26,12,8,6,5,4,4,4,4,3,3,3,3,2,2,2,1,1,1,1,0,0,0,0,0,0,1,0,2,0,0
202122,Academic year,National,E92000001,England,School religious character,Church of England,State-funded mainstream schools,Girls,4178,60645,59179,1466,13895,6878,4641,3592,3077,2756,2569,2424,2300,2168,2054,2051,1931,1715,1497,1346,1119,884,652,428,305,219,179,137,160,202,307,165,790,50,154,1146963,19.4,98,2,23,11,8,6,5,5,4,4,4,4,3,3,3,3,2,2,2,1,1,1,1,0,0,0,0,0,1,0,1,0,0
202122,Academic year,National,E92000001,England,School religious character,Church of England,State-funded mainstream schools,Total,4213,123036,119652,3384,30074,14293,9541,7296,6249,5475,5067,4814,4532,4134,3931,3826,3556,3184,2800,2485,2030,1696,1269,891,606,475,387,285,302,454,674,419,1900,105,286,2347324,19.6,97,3,24,12,8,6,5,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,0,0,0,0,0,0,1,0,2,0,0
202122,Academic year,National,E92000001,England,School religious character,Jewish,State-funded mainstream schools,Boys,34,762,758,4,232,98,65,65,36,39,34,35,20,27,25,23,14,5,10,12,6,2,3,3,0,1,1,1,0,1,2,0,1,0,1,15948,21,99,1,30,13,9,9,5,5,4,5,3,4,3,3,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202122,Academic year,National,E92000001,England,School religious character,Jewish,State-funded mainstream schools,Girls,34,703,690,13,202,108,76,37,42,32,25,27,26,17,19,17,18,9,5,9,5,5,3,1,0,1,3,0,1,2,2,0,8,0,3,14537,21.1,98,2,29,15,11,5,6,5,4,4,4,2,3,2,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
202122,Academic year,National,E92000001,England,School religious character,Jewish,State-funded mainstream schools,Total,37,1465,1448,17,434,206,141,102,78,71,59,62,46,44,44,40,32,14,15,21,11,7,6,4,0,2,4,1,1,3,4,0,9,0,4,30485,21.1,99,1,30,14,10,7,5,5,4,4,3,3,3,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
202122,Academic year,National,E92000001,England,School religious character,Methodist,State-funded mainstream schools,Boys,23,314,303,11,76,31,28,23,20,10,10,11,12,10,16,7,11,11,9,4,3,1,4,1,1,1,2,0,0,1,2,1,7,0,1,6002,19.8,96,4,24,10,9,7,6,3,3,4,4,3,5,2,4,4,3,1,1,0,1,0,0,0,1,0,0,0,1,0,2,0,0
202122,Academic year,National,E92000001,England,School religious character,Methodist,State-funded mainstream schools,Girls,24,300,294,6,56,33,22,12,17,19,13,15,8,18,14,12,11,8,8,8,8,3,2,4,0,1,0,1,1,0,0,0,5,0,1,5566,18.9,98,2,19,11,7,4,6,6,4,5,3,6,5,4,4,3,3,3,3,1,1,1,0,0,0,0,0,0,0,0,2,0,0
202122,Academic year,National,E92000001,England,School religious character,Methodist,State-funded mainstream schools,Total,24,614,597,17,132,64,50,35,37,29,23,26,20,28,30,19,22,19,17,12,11,4,6,5,1,2,2,1,1,1,2,1,12,0,2,11568,19.4,97,3,21,10,8,6,6,5,4,4,3,5,5,3,4,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,2,0,0
202122,Academic year,National,E92000001,England,School religious character,Muslim,State-funded mainstream schools,Boys,15,489,478,11,260,68,30,26,12,18,7,5,10,5,4,6,8,4,3,3,2,1,2,1,0,1,0,0,0,2,1,0,9,0,1,10888,22.8,98,2,53,14,6,5,2,4,1,1,2,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
202122,Academic year,National,E92000001,England,School religious character,Muslim,State-funded mainstream schools,Girls,15,525,516,9,245,82,45,23,23,12,11,12,10,12,6,7,6,3,4,4,3,1,0,2,2,1,0,1,0,1,4,1,2,0,2,11593,22.5,98,2,47,16,9,4,4,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202122,Academic year,National,E92000001,England,School religious character,Muslim,State-funded mainstream schools,Total,15,1014,994,20,505,150,75,49,35,30,18,17,20,17,10,13,14,7,7,7,5,2,2,3,2,2,0,1,0,3,5,1,11,0,3,22481,22.6,98,2,50,15,7,5,3,3,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
202122,Academic year,National,E92000001,England,School religious character,No religious character,State-funded mainstream schools,Boys,9634,232564,224514,8050,67129,28133,17341,12869,10816,9530,8598,7801,7314,6858,6467,6137,5509,5087,4627,3983,3456,2997,2353,1714,1292,1058,865,644,739,1197,1405,1171,4864,178,432,4494420,20,97,3,29,12,7,6,5,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,1,1,1,2,0,0
202122,Academic year,National,E92000001,England,School religious character,No religious character,State-funded mainstream schools,Girls,9632,223914,218198,5716,56469,25843,16357,12865,10705,9658,8822,8399,8048,7582,7264,6907,6511,5952,5285,4612,3939,3414,2536,1814,1179,941,769,576,679,1072,1279,576,3306,188,367,4257267,19.5,97,3,25,12,7,6,5,4,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,0,0,0,0,0,1,0,1,0,0
202122,Academic year,National,E92000001,England,School religious character,No religious character,State-funded mainstream schools,Total,9651,456478,442712,13766,123598,53976,33698,25734,21521,19188,17420,16200,15362,14440,13731,13044,12020,11039,9912,8595,7395,6411,4889,3528,2471,1999,1634,1220,1418,2269,2684,1747,8170,366,799,8751687,19.8,97,3,27,12,7,6,5,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,1,0,2,0,0
