time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic_group,characteristic,school_type,gender,no_schools,t_mtc_eligible_pupils,t_mtc_pupils_completed_check,t_mtc_eligible_pupils_not_completed_check,t_mtc_scored_25,t_mtc_scored_24,t_mtc_scored_23,t_mtc_scored_22,t_mtc_scored_21,t_mtc_scored_20,t_mtc_scored_19,t_mtc_scored_18,t_mtc_scored_17,t_mtc_scored_16,t_mtc_scored_15,t_mtc_scored_14,t_mtc_scored_13,t_mtc_scored_12,t_mtc_scored_11,t_mtc_scored_10,t_mtc_scored_9,t_mtc_scored_8,t_mtc_scored_7,t_mtc_scored_6,t_mtc_scored_5,t_mtc_scored_4,t_mtc_scored_3,t_mtc_scored_2,t_mtc_scored_1,t_mtc_scored_0,t_mtc_absent,t_mtc_unable_to_participate,t_mtc_working_below,t_mtc_just_arrived,t_mtc_missing_reason,t_mtc_sum_scores,mtc_average_score,pt_mtc_eligible_pupils_completed_check,pt_mtc_eligible_pupils_not_completed_check,pt_mtc_scored_25,pt_mtc_scored_24,pt_mtc_scored_23,pt_mtc_scored_22,pt_mtc_scored_21,pt_mtc_scored_20,pt_mtc_scored_19,pt_mtc_scored_18,pt_mtc_scored_17,pt_mtc_scored_16,pt_mtc_scored_15,pt_mtc_scored_14,pt_mtc_scored_13,pt_mtc_scored_12,pt_mtc_scored_11,pt_mtc_scored_10,pt_mtc_scored_9,pt_mtc_scored_8,pt_mtc_scored_7,pt_mtc_scored_6,pt_mtc_scored_5,pt_mtc_scored_4,pt_mtc_scored_3,pt_mtc_scored_2,pt_mtc_scored_1,pt_mtc_scored_0,pt_mtc_absent,pt_mtc_unable_to_participate,pt_mtc_working_below,pt_mtc_just_arrived,pt_mtc_missing_reason
202122,Academic year,Regional,E92000001,England,E12000007,London,,,,All pupils,Total,State-funded schools,Total,1821,96920,93160,3760,31570,13390,7910,5620,4370,3730,3370,2880,2650,2420,2210,2040,1830,1580,1480,1310,1070,900,690,510,360,280,220,160,210,390,460,520,2390,110,290,1944995,20.9,96,4,33,14,8,6,5,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,1,2,0,0
202122,Academic year,Regional,E92000001,England,E12000008,South East,,,,All pupils,Total,State-funded schools,Total,2339,104340,100010,4330,25170,11810,7690,5920,5100,4550,4220,3940,3730,3530,3280,3250,2960,2670,2480,2160,1750,1530,1140,770,550,480,340,280,300,420,560,430,2760,90,490,1949988,19.5,96,4,24,11,7,6,5,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,1,0,0,0,0,0,1,0,3,0,0
202122,Academic year,Regional,E92000001,England,E12000002,North West,,,,All pupils,Total,State-funded schools,Total,2482,89890,86260,3630,24680,10400,6590,5020,4250,3740,3370,3150,2970,2880,2670,2610,2340,2070,1890,1690,1390,1140,870,610,460,350,270,220,250,420,530,360,2220,70,440,1715474,19.9,96,4,27,12,7,6,5,4,4,3,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,1,0,2,0,0
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,All pupils,Total,State-funded schools,Total,1768,74210,71180,3030,20440,8830,5440,4100,3280,3070,2850,2550,2500,2220,2140,2050,1890,1750,1520,1320,1180,950,740,570,350,340,260,210,230,390,450,300,1840,50,390,1414262,19.9,96,4,28,12,7,6,4,4,4,3,3,3,3,3,3,2,2,2,2,1,1,1,0,0,0,0,0,1,1,0,2,0,1
202122,Academic year,Regional,E92000001,England,E12000006,East of England,,,,All pupils,Total,State-funded schools,Total,1917,73550,70600,2950,18280,8420,5300,4140,3550,3160,2790,2760,2530,2370,2450,2230,2040,1870,1730,1430,1260,1070,820,600,400,330,290,180,240,360,440,320,1760,50,380,1377688,19.5,96,4,25,11,7,6,5,4,4,4,3,3,3,3,3,3,2,2,2,1,1,1,1,0,0,0,0,0,1,0,2,0,1
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,All pupils,Total,State-funded schools,Total,1749,65960,63220,2740,17490,7480,4730,3590,3040,2690,2460,2330,2180,2050,2010,1840,1800,1640,1460,1300,1050,1030,750,570,400,260,270,210,230,380,430,250,1650,50,360,1239264,19.6,96,4,27,11,7,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,0,0,0,0,1,1,0,2,0,1
202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,All pupils,Total,State-funded schools,Total,883,30300,29010,1290,8020,3310,2170,1740,1500,1350,1190,1110,1020,970,920,830,800,700,640,580,500,440,340,220,150,140,110,70,100,130,190,100,890,10,100,572116,19.7,96,4,26,11,7,6,5,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,1,0,3,0,0
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,All pupils,Total,State-funded schools,Total,1554,56500,54200,2300,13960,6470,4190,3210,2860,2480,2180,2150,2020,1820,1720,1630,1570,1490,1240,1120,910,800,650,440,290,240,210,150,160,250,320,220,1510,30,220,1061503,19.6,96,4,25,11,7,6,5,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,1,0,0,0,0,0,1,0,3,0,0
202122,Academic year,Regional,E92000001,England,E12000009,South West,,,,All pupils,Total,State-funded schools,Total,1858,60590,58050,2540,13400,6520,4340,3490,2900,2690,2490,2400,2260,2190,2060,2020,1860,1750,1490,1260,1150,1010,700,530,390,300,240,180,180,270,350,260,1610,40,270,1110663,19.1,96,4,22,11,7,6,5,4,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,0,0,0,0,0,1,0,3,0,0
202122,Academic year,Regional,E92000001,England,E12000007,London,,,,All pupils,Total,State-funded schools,Boys,1817,49330,46980,2350,16760,6850,3970,2890,2160,1830,1610,1380,1260,1140,1020,940,820,710,670,600,500,420,310,240,190,150,130,100,110,220,210,350,1560,50,180,990019,21.1,95,5,34,14,8,6,4,4,3,3,3,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,3,0,0
202122,Academic year,Regional,E92000001,England,E12000008,South East,,,,All pupils,Total,State-funded schools,Boys,2338,53520,50730,2790,13770,6150,3980,3020,2570,2270,2020,1880,1810,1690,1570,1540,1380,1270,1160,970,810,730,540,380,260,250,170,140,150,240,310,310,1810,40,340,1002650,19.8,95,5,26,11,7,6,5,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,0,0,0,0,0,0,1,1,3,0,1
202122,Academic year,Regional,E92000001,England,E12000008,South East,,,,All pupils,Total,State-funded schools,Girls,2319,50820,49280,1540,11400,5660,3710,2900,2530,2280,2200,2050,1920,1840,1710,1700,1590,1400,1320,1190,940,800,600,390,290,230,170,140,140,190,250,120,950,60,160,947338,19.2,97,3,22,11,7,6,5,4,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,0,0,0,0,0,0,0,2,0,0
202122,Academic year,Regional,E92000001,England,E12000002,North West,,,,All pupils,Total,State-funded schools,Boys,2471,45900,43650,2250,13370,5430,3440,2500,2110,1900,1660,1520,1380,1390,1240,1150,1070,940,850,770,640,520,410,320,240,180,140,120,130,250,270,220,1430,40,290,879651,20.2,95,5,29,12,8,5,5,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,1,1,0,3,0,1
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,All pupils,Total,State-funded schools,Boys,1767,38280,36340,1940,11010,4630,2820,2090,1690,1520,1430,1230,1190,1060,1040,970,870,810,730,640,550,440,370,280,180,190,150,120,130,230,250,220,1190,30,250,729282,20.1,95,5,29,12,7,5,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,1,1,1,3,0,1
202122,Academic year,Regional,E92000001,England,E12000006,East of England,,,,All pupils,Total,State-funded schools,Boys,1914,37610,35740,1870,9920,4350,2770,2010,1820,1600,1400,1340,1230,1140,1160,1020,910,860,810,660,610,510,380,300,220,190,150,90,120,180,250,210,1150,30,230,706357,19.8,95,5,26,12,7,5,5,4,4,4,3,3,3,3,2,2,2,2,2,1,1,1,1,0,0,0,0,0,1,1,3,0,1
202122,Academic year,Regional,E92000001,England,E12000006,East of England,,,,All pupils,Total,State-funded schools,Girls,1896,35950,34860,1090,8360,4070,2530,2130,1730,1560,1390,1420,1300,1230,1290,1210,1120,1010,910,770,660,560,440,300,180,150,140,90,120,180,190,110,610,20,150,671331,19.3,97,3,23,11,7,6,5,4,4,4,4,3,4,3,3,3,3,2,2,2,1,1,1,0,0,0,0,1,1,0,2,0,0
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,All pupils,Total,State-funded schools,Boys,1744,33580,31930,1650,9390,3900,2380,1750,1530,1280,1260,1140,1060,950,960,880,830,770,680,600,480,510,370,280,190,140,160,120,130,200,220,160,1020,20,220,632090,19.8,95,5,28,12,7,5,5,4,4,3,3,3,3,3,2,2,2,2,1,2,1,1,1,0,0,0,0,1,1,0,3,0,1
